PLATE,MJD,IMG_NAME,IMG_NUM,PLATEQUALITY
5290,55862,b1-00135458,135458,good
5290,55862,b1-00135459,135459,good
5290,55862,b1-00135460,135460,good
5290,55862,b1-00135461,135461,good
5290,55862,b1-00135462,135462,good
5290,55862,b1-00135667,135667,good
5290,55862,b1-00135669,135669,good
5290,55862,b1-00135670,135670,good
5290,55862,b1-00135671,135671,good
5290,55862,b2-00135458,135458,good
5290,55862,b2-00135459,135459,good
5290,55862,b2-00135460,135460,good
5290,55862,b2-00135461,135461,good
5290,55862,b2-00135462,135462,good
5290,55862,b2-00135667,135667,good
5290,55862,b2-00135669,135669,good
5290,55862,b2-00135670,135670,good
5290,55862,b2-00135671,135671,good
5290,55862,r1-00135458,135458,good
5290,55862,r1-00135459,135459,good
5290,55862,r1-00135460,135460,good
5290,55862,r1-00135461,135461,good
5290,55862,r1-00135462,135462,good
5290,55862,r1-00135667,135667,good
5290,55862,r1-00135669,135669,good
5290,55862,r1-00135670,135670,good
5290,55862,r1-00135671,135671,good
5290,55862,r2-00135458,135458,good
5290,55862,r2-00135459,135459,good
5290,55862,r2-00135460,135460,good
5290,55862,r2-00135461,135461,good
5290,55862,r2-00135462,135462,good
5290,55862,r2-00135667,135667,good
5290,55862,r2-00135669,135669,good
5290,55862,r2-00135670,135670,good
5290,55862,r2-00135671,135671,good
5802,56309,b1-00154432,154432,good
5802,56309,b1-00154617,154617,good
5802,56309,b1-00154618,154618,good
5802,56309,b1-00154619,154619,good
5802,56309,b1-00154620,154620,good
5802,56309,b1-00154621,154621,good
5802,56309,b2-00154432,154432,good
5802,56309,b2-00154617,154617,good
5802,56309,b2-00154618,154618,good
5802,56309,b2-00154619,154619,good
5802,56309,b2-00154620,154620,good
5802,56309,b2-00154621,154621,good
5802,56309,r1-00154432,154432,good
5802,56309,r1-00154617,154617,good
5802,56309,r1-00154618,154618,good
5802,56309,r1-00154619,154619,good
5802,56309,r1-00154620,154620,good
5802,56309,r1-00154621,154621,good
5802,56309,r2-00154432,154432,good
5802,56309,r2-00154617,154617,good
5802,56309,r2-00154618,154618,good
5802,56309,r2-00154619,154619,good
5802,56309,r2-00154620,154620,good
5802,56309,r2-00154621,154621,good
4628,55646,b1-00128479,128479,good
4628,55646,b1-00128480,128480,good
4628,55646,b1-00128481,128481,good
4628,55646,b1-00128482,128482,good
4628,55646,b2-00128479,128479,good
4628,55646,b2-00128480,128480,good
4628,55646,b2-00128481,128481,good
4628,55646,b2-00128482,128482,good
4628,55646,r1-00128479,128479,good
4628,55646,r1-00128480,128480,good
4628,55646,r1-00128481,128481,good
4628,55646,r1-00128482,128482,good
4628,55646,r2-00128479,128479,good
4628,55646,r2-00128480,128480,good
4628,55646,r2-00128481,128481,good
4628,55646,r2-00128482,128482,good
6512,56567,b1-00167036,167036,good
6512,56567,b1-00167037,167037,good
6512,56567,b1-00167038,167038,good
6512,56567,b2-00167036,167036,good
6512,56567,b2-00167037,167037,good
6512,56567,b2-00167038,167038,good
6512,56567,r1-00167036,167036,good
6512,56567,r1-00167037,167037,good
6512,56567,r1-00167038,167038,good
6512,56567,r2-00167036,167036,good
6512,56567,r2-00167037,167037,good
6512,56567,r2-00167038,167038,good
5338,56002,b1-00141240,141240,good
5338,56002,b1-00141241,141241,good
5338,56002,b1-00141242,141242,good
5338,56002,b2-00141240,141240,good
5338,56002,b2-00141241,141241,good
5338,56002,b2-00141242,141242,good
5338,56002,r1-00141240,141240,good
5338,56002,r1-00141241,141241,good
5338,56002,r1-00141242,141242,good
5338,56002,r2-00141240,141240,good
5338,56002,r2-00141241,141241,good
5338,56002,r2-00141242,141242,good
5203,56034,b1-00142576,142576,good
5203,56034,b1-00142577,142577,good
5203,56034,b1-00142578,142578,good
5203,56034,b2-00142576,142576,good
5203,56034,b2-00142577,142577,good
5203,56034,b2-00142578,142578,good
5203,56034,r1-00142576,142576,good
5203,56034,r1-00142577,142577,good
5203,56034,r1-00142578,142578,good
5203,56034,r2-00142576,142576,good
5203,56034,r2-00142577,142577,good
5203,56034,r2-00142578,142578,good
4029,55618,b1-00127037,127037,good
4029,55618,b1-00127038,127038,good
4029,55618,b1-00127039,127039,good
4029,55618,b1-00127105,127105,good
4029,55618,b1-00127106,127106,good
4029,55618,b1-00127107,127107,good
4029,55618,b2-00127037,127037,good
4029,55618,b2-00127038,127038,good
4029,55618,b2-00127039,127039,good
4029,55618,b2-00127105,127105,good
4029,55618,b2-00127106,127106,good
4029,55618,b2-00127107,127107,good
4029,55618,r1-00127037,127037,good
4029,55618,r1-00127038,127038,good
4029,55618,r1-00127039,127039,good
4029,55618,r1-00127105,127105,good
4029,55618,r1-00127106,127106,good
4029,55618,r1-00127107,127107,good
4029,55618,r2-00127037,127037,good
4029,55618,r2-00127038,127038,good
4029,55618,r2-00127039,127039,good
4029,55618,r2-00127105,127105,good
4029,55618,r2-00127106,127106,good
4029,55618,r2-00127107,127107,good
3965,55302,b1-00113425,113425,good
3965,55302,b1-00113426,113426,good
3965,55302,b1-00113427,113427,good
3965,55302,b2-00113425,113425,good
3965,55302,b2-00113426,113426,good
3965,55302,b2-00113427,113427,good
3965,55302,r1-00113425,113425,good
3965,55302,r1-00113426,113426,good
3965,55302,r1-00113427,113427,good
3965,55302,r2-00113425,113425,good
3965,55302,r2-00113426,113426,good
3965,55302,r2-00113427,113427,good
5984,56337,b1-00156365,156365,good
5984,56337,b1-00156366,156366,good
5984,56337,b1-00156367,156367,good
5984,56337,b1-00156496,156496,good
5984,56337,b1-00156497,156497,good
5984,56337,b1-00156498,156498,good
5984,56337,b2-00156365,156365,good
5984,56337,b2-00156366,156366,good
5984,56337,b2-00156367,156367,good
5984,56337,b2-00156496,156496,good
5984,56337,b2-00156497,156497,good
5984,56337,b2-00156498,156498,good
5984,56337,r1-00156365,156365,good
5984,56337,r1-00156366,156366,good
5984,56337,r1-00156367,156367,good
5984,56337,r1-00156496,156496,good
5984,56337,r1-00156497,156497,good
5984,56337,r1-00156498,156498,good
5984,56337,r2-00156365,156365,good
5984,56337,r2-00156366,156366,good
5984,56337,r2-00156367,156367,good
5984,56337,r2-00156496,156496,good
5984,56337,r2-00156497,156497,good
5984,56337,r2-00156498,156498,good
3830,55574,b1-00125259,125259,good
3830,55574,b1-00125260,125260,good
3830,55574,b1-00125261,125261,good
3830,55574,b1-00125262,125262,good
3830,55574,b2-00125259,125259,good
3830,55574,b2-00125260,125260,good
3830,55574,b2-00125261,125261,good
3830,55574,b2-00125262,125262,good
3830,55574,r1-00125259,125259,good
3830,55574,r1-00125260,125260,good
3830,55574,r1-00125261,125261,good
3830,55574,r1-00125262,125262,good
3830,55574,r2-00125259,125259,good
3830,55574,r2-00125260,125260,good
3830,55574,r2-00125261,125261,good
3830,55574,r2-00125262,125262,good
5017,55715,b1-00131556,131556,good
5017,55715,b1-00131557,131557,good
5017,55715,b1-00131558,131558,good
5017,55715,b1-00131559,131559,good
5017,55715,b2-00131556,131556,good
5017,55715,b2-00131557,131557,good
5017,55715,b2-00131558,131558,good
5017,55715,b2-00131559,131559,good
5017,55715,r1-00131556,131556,good
5017,55715,r1-00131557,131557,good
5017,55715,r1-00131558,131558,good
5017,55715,r1-00131559,131559,good
5017,55715,r2-00131556,131556,good
5017,55715,r2-00131557,131557,good
5017,55715,r2-00131558,131558,good
5017,55715,r2-00131559,131559,good
7036,56569,b1-00167228,167228,good
7036,56569,b1-00167229,167229,good
7036,56569,b1-00167230,167230,good
7036,56569,b2-00167228,167228,good
7036,56569,b2-00167229,167229,good
7036,56569,b2-00167230,167230,good
7036,56569,r1-00167228,167228,good
7036,56569,r1-00167229,167229,good
7036,56569,r1-00167230,167230,good
7036,56569,r2-00167228,167228,good
7036,56569,r2-00167229,167229,good
7036,56569,r2-00167230,167230,good
6972,56426,b1-00161692,161692,good
6972,56426,b1-00161693,161693,good
6972,56426,b1-00161694,161694,good
6972,56426,b1-00161695,161695,good
6972,56426,b2-00161692,161692,good
6972,56426,b2-00161693,161693,good
6972,56426,b2-00161694,161694,good
6972,56426,b2-00161695,161695,good
6972,56426,r1-00161692,161692,good
6972,56426,r1-00161693,161693,good
6972,56426,r1-00161694,161694,good
6972,56426,r1-00161695,161695,good
6972,56426,r2-00161692,161692,good
6972,56426,r2-00161693,161693,good
6972,56426,r2-00161694,161694,good
6972,56426,r2-00161695,161695,good
5798,56326,b1-00155478,155478,good
5798,56326,b1-00155479,155479,good
5798,56326,b1-00155480,155480,good
5798,56326,b1-00155481,155481,good
5798,56326,b2-00155478,155478,good
5798,56326,b2-00155479,155479,good
5798,56326,b2-00155480,155480,good
5798,56326,b2-00155481,155481,good
5798,56326,r1-00155478,155478,good
5798,56326,r1-00155479,155479,good
5798,56326,r1-00155480,155480,good
5798,56326,r1-00155481,155481,good
5798,56326,r2-00155478,155478,good
5798,56326,r2-00155479,155479,good
5798,56326,r2-00155480,155480,good
5798,56326,r2-00155481,155481,good
4540,55863,b1-00135642,135642,good
4540,55863,b1-00135643,135643,good
4540,55863,b1-00135644,135644,good
4540,55863,b1-00135645,135645,good
4540,55863,b1-00135722,135722,good
4540,55863,b1-00135723,135723,good
4540,55863,b2-00135642,135642,good
4540,55863,b2-00135643,135643,good
4540,55863,b2-00135644,135644,good
4540,55863,b2-00135645,135645,good
4540,55863,b2-00135722,135722,good
4540,55863,b2-00135723,135723,good
4540,55863,r1-00135642,135642,good
4540,55863,r1-00135643,135643,good
4540,55863,r1-00135644,135644,good
4540,55863,r1-00135645,135645,good
4540,55863,r1-00135722,135722,good
4540,55863,r1-00135723,135723,good
4540,55863,r2-00135642,135642,good
4540,55863,r2-00135643,135643,good
4540,55863,r2-00135644,135644,good
4540,55863,r2-00135645,135645,good
4540,55863,r2-00135722,135722,good
4540,55863,r2-00135723,135723,good
4489,55545,b1-00124033,124033,good
4489,55545,b1-00124034,124034,good
4489,55545,b1-00124035,124035,good
4489,55545,b1-00124036,124036,good
4489,55545,b1-00124037,124037,good
4489,55545,b1-00124038,124038,good
4489,55545,b2-00124033,124033,good
4489,55545,b2-00124034,124034,good
4489,55545,b2-00124035,124035,good
4489,55545,b2-00124036,124036,good
4489,55545,b2-00124037,124037,good
4489,55545,b2-00124038,124038,good
4489,55545,r1-00124033,124033,good
